,,,,,,,,,
,,CUADRO No.3 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito,,,,,,,
,,17 de noviembre de 2020,,,,,,,
,,,,,,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS
,,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*
,,,,,,,,,
,,,,Coto Brus,,260,88,5,167
,,,,,Aguabuena,36,12,0,24
,,,,,Gutiérrez Braun,20,6,1,13
,,,,,Limoncito,28,3,0,25
,,,,,Pittier,14,6,0,8
,,,,,Sabalito,59,21,0,38
,,,,,San Vito,89,40,4,45
,,,,,Sin información de distrito,14,0,0,14
,,,,Esparza,,843,513,11,319
,,,,,Caldera,44,29,1,14
,,,,,Espíritu Santo,480,305,7,168
,,,,,Macacona,150,87,2,61
,,,,,San Jerónimo,21,11,0,10
,,,,,San Juan Grande,125,65,1,59
,,,,,San Rafael,19,13,0,6
,,,,,Sin información de distrito,4,3,0,1
,,,,Garabito,,873,514,8,351
,,,,,Jacó,730,435,5,290
,,,,,Tárcoles,137,73,3,61
,,,,,Sin información de distrito,6,6,0,0
,,,,Golfito,,514,275,2,237
,,,,,Golfito,139,86,0,53
,,,,,Guaycará,243,106,1,136
,,,,,Pavón,75,50,1,24
,,,,,Puerto Jiménez,56,32,0,24
,,,,,Sin información de distrito,1,1,0,0
,,,,Montes de Oro,,432,174,6,252
,,,,,La Unión,8,4,0,4
,,,,,Miramar,308,122,5,181
,,,,,San Isidro,115,47,1,67
,,,,,Sin información de distrito,1,1,0,0
,,,,Osa,,391,206,15,170
,,,,,Bahía Ballena,32,11,0,21
,,,,,Bahía Drake,10,3,0,7
,,,,,Palmar,217,131,11,75
,,,,,Piedras Blancas,42,22,1,19
,,,,,Puerto Cortés,74,30,1,43
,,,,,Sierpe,13,6,2,5
,,,,,Sin información de distrito,3,3,0,0
,,,,Parrita,,269,223,3,43
,,,,,Parrita,267,221,3,43
,,,,,Sin información de distrito,2,2,0,0
,,,,Puntarenas,,4051,2124,54,1873
,,,,,Acapulco,52,27,1,24
,,,,,Arancibia,4,3,1,0
,,,,,Barranca,1594,1145,20,429
,,,,,Chacarita,734,95,15,624
,,,,,Chira,19,11,1,7
,,,,,Chomes,111,44,2,65
,,,,,Cóbano,94,66,1,27
,,,,,El Roble,598,294,5,299
,,,,,Guacimal,16,15,0,1
,,,,,Isla del Coco,0,0,0,0
,,,,,Lepanto,151,128,1,22
,,,,,Manzanillo,25,14,0,11
,,,,,Monte Verde,44,27,1,16
,,,,,Paquera,115,96,1,18
,,,,,Pitahaya,52,28,2,22
,,,,,Puntarenas,432,123,3,306
,,,,,Sin información de distrito,10,8,0,2
,,,,Quepos,,633,449,9,175
,,,,,Naranjito,78,56,2,20
,,,,,Quepos,523,368,7,148
,,,,,Savegre,31,24,0,7
,,,,,Sin información de distrito,1,1,0,0
,,,,Sin información de Cantón,,0,0,0,0
,,Limón,,,,9177,5602,97,3478
,,,,Guácimo,,679,385,7,287
,,,,,Duacarí,62,30,0,32
,,,,,Guácimo,314,189,3,122
,,,,,Mercedes,40,26,0,14
,,,,,Pocora,138,77,2,59
,,,,,Río Jiménez,123,61,2,60
,,,,,Sin información de distrito,2,2,0,0
,,,,Limón,,3199,2504,31,664
,,,,,Limón,2216,1734,24,458
,,,,,Matama,141,112,1,28
,,,,,Río Blanco,245,191,2,52
,,,,,Valle de La Estrella,589,459,4,126
,,,,,Sin información de distrito,8,8,0,0
,,,,Matina,,786,570,9,207
,,,,,Batán,318,207,6,105
,,,,,Carrandí,282,213,2,67
,,,,,Matina,186,150,1,35
,,,,,Sin información de distrito,0,0,0,0
,,,,Pococí,,2062,1070,16,976
,,,,,Cariari,488,301,3,184
,,,,,Colorado,9,6,0,3
,,,,,Guápiles,709,287,6,416
,,,,,Jiménez,159,66,0,93
,,,,,La Colonia,78,28,3,47
,,,,,Rita,369,208,2,159
,,,,,Roxana,247,172,2,73
,,,,,Sin información de distrito,3,2,0,1
,,,,Siquirres,,1296,925,12,359
,,,,,El Cairo,198,150,3,45
,,,,,Florida,62,48,0,14
,,,,,Germania,53,36,1,16
,,,,,La Alegría,110,76,0,34
,,,,,Pacuarito,88,65,0,23
,,,,,Reventazón,0,0,0,0
,,,,,Siquirres,784,549,8,227
,,,,,Sin información de distrito,1,1,0,0
,,,,Talamanca,,1155,148,22,985
,,,,,Bratsi,408,49,11,348
,,,,,Cahuita,180,47,1,132
