,,,,,,,,,,
,"CUADRO No.7-2 
Número de casos acumulados, recuperados, fallecidos y activos por COVID-191 
Por provincia,cantón y distrito",,,,,,,,,Volver al Índice
,1,"de julio,2020",,,,,,,,
,,,,CASOS COVID-19,ACUMULADOS,RECUPERADOS,FALLECIDOS,ACTIVOS,,
,Provincia,,Cantón,Distrito,Casos*,Casos*,Casos*,Casos*,,
,,,,,,,,,,
,,,,Nosara,2,0,0,2,,
,,,,Quebrada Honda,1,0,0,1,,
,,,,Sámara,2,0,0,2,,
,,,,San Antonio,1,1,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Santa Cruz,,20,8,0,12,,
,,,,Bolsón,0,0,0,0,,
,,,,Cabo Velas,1,1,0,0,,
,,,,Cartagena,0,0,0,0,,
,,,,Cuajiniquil,0,0,0,0,,
,,,,Diriá,1,1,0,0,,
,,,,Santa Cruz,14,3,0,11,,
,,,,Tamarindo,3,2,0,1,,
,,,,Tempate,1,1,0,0,,
,,,,Veintisiete de Abril,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Tilarán,,6,6,0,0,,
,,,,Arenal,2,2,0,0,,
,,,,Líbano,0,0,0,0,,
,,,,Quebrada Grande,3,3,0,0,,
,,,,Santa Rosa,0,0,0,0,,
,,,,Tierras Morenas,0,0,0,0,,
,,,,Tilarán,1,1,0,0,,
,,,,Tronadora,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,Puntarenas,,,,186,88,0,98,,
,,,Buenos Aires,,2,0,0,2,,
,,,,Biolley,0,0,0,0,,
,,,,Boruca,0,0,0,0,,
,,,,Brunka,1,0,0,1,,
,,,,Buenos Aires,1,0,0,1,,
,,,,Chánguena,0,0,0,0,,
,,,,Colinas,0,0,0,0,,
,,,,Pilas,0,0,0,0,,
,,,,Potrero Grande,0,0,0,0,,
,,,,Volcán,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Corredores,,41,1,0,40,,
,,,,Canoas,13,1,0,12,,
,,,,Corredor,8,0,0,8,,
,,,,La Cuesta,17,0,0,17,,
,,,,Laurel,3,0,0,3,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Coto Brus,,3,2,0,1,,
,,,,Aguabuena,0,0,0,0,,
,,,,Gutiérrez Braun,0,0,0,0,,
,,,,Limoncito,0,0,0,0,,
,,,,Pittier,0,0,0,0,,
,,,,Sabalito,1,0,0,1,,
,,,,San Vito,2,2,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Esparza,,9,6,0,3,,
,,,,Caldera,1,0,0,1,,
,,,,Espíritu Santo,3,1,0,2,,
,,,,Macacona,3,3,0,0,,
,,,,San Jerónimo,0,0,0,0,,
,,,,San Juan Grande,2,2,0,0,,
,,,,San Rafael,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Garabito,,27,25,0,2,,
,,,,Jacó,25,23,0,2,,
,,,,Tárcoles,2,2,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Golfito,,7,2,0,5,,
,,,,Golfito,2,1,0,1,,
,,,,Guaycará,3,1,0,2,,
,,,,Pavón,2,0,0,2,,
,,,,Puerto Jiménez,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Montes de Oro,,2,2,0,0,,
,,,,La Unión,0,0,0,0,,
,,,,Miramar,2,2,0,0,,
,,,,San Isidro,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Osa,,8,6,0,2,,
,,,,Bahía Ballena,0,0,0,0,,
,,,,Bahía Drake,0,0,0,0,,
,,,,Palmar,0,0,0,0,,
,,,,Piedras Blancas,0,0,0,0,,
,,,,Puerto Cortés,7,5,0,2,,
,,,,Sierpe,0,0,0,0,,
,,,,Sin información de distrito,1,1,0,0,,
,,,Parrita,,1,0,0,1,,
,,,,Parrita,1,0,0,1,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Puntarenas,,80,38,0,42,,
,,,,Acapulco,4,0,0,4,,
,,,,Arancibia,2,2,0,0,,
,,,,Barranca,27,9,0,18,,
,,,,Chacarita,3,1,0,2,,
,,,,Chira,0,0,0,0,,
,,,,Chomes,3,2,0,1,,
,,,,Cóbano,1,1,0,0,,
,,,,El Roble,4,3,0,1,,
,,,,Guacimal,8,0,0,8,,
,,,,Isla del Coco,0,0,0,0,,
,,,,Lepanto,0,0,0,0,,
,,,,Manzanillo,1,0,0,1,,
,,,,Monte Verde,0,0,0,0,,
,,,,Paquera,26,20,0,6,,
,,,,Pitahaya,1,0,0,1,,
,,,,Puntarenas,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Quepos,,6,6,0,0,,
,,,,Naranjito,0,0,0,0,,
,,,,Quepos,6,6,0,0,,
,,,,Savegre,0,0,0,0,,
,,,,Sin información de distrito,0,0,0,0,,
,Limón,,,,208,87,0,121,,
,,,Guácimo,,7,3,0,4,,
,,,,Duacarí,0,0,0,0,,
,,,,Guácimo,5,2,0,3,,
,,,,Mercedes,0,0,0,0,,
,,,,Pocora,1,1,0,0,,
,,,,Río Jiménez,1,0,0,1,,
,,,,Sin información de distrito,0,0,0,0,,
,,,Limón,,34,23,0,11,,
,,,,Limón,22,15,0,7,,
,,,,Matama,2,1,0,1,,
,,,,Río Blanco,0,0,0,0,,
,,,,Valle de La Estrella,9,6,0,3,,
,,,,Sin información de distrito,1,1,0,0,,
